activity_id,week,location_id,co_share_group
A004,20,SEC:ALP:S04_H01:EB,g1_S04:EB
A006,2,PLAT:ALP:H01:WB,g1_S04:WB
A006,2,PLAT:ALP:H02:WB,g1_S04:WB
A006,2,PLAT:ALP:S03:WB,g1_S04:WB
A006,2,PLAT:ALP:S04:WB,g1_S04:WB
A006,2,SEC:ALP:H01_H02:WB,g1_S04:WB
A006,2,SEC:ALP:S03_S04:WB,g1_S04:WB
A006,2,SEC:ALP:S04_H01:WB,g1_S04:WB
A007,16,PLAT:BET:H01:EB,g1_H02:EB
A007,16,PLAT:BET:H02:EB,g1_H02:EB
A007,16,SEC:BET:H01_H02:EB,g1_H02:EB
A007,17,PLAT:BET:H01:EB,g1_H02:EB
A007,17,PLAT:BET:H02:EB,g1_H02:EB
A007,17,SEC:BET:H01_H02:EB,g1_H02:EB
A007,19,PLAT:BET:H01:EB,g1_H02:EB
A007,19,PLAT:BET:H02:EB,g1_H02:EB
A007,19,SEC:BET:H01_H02:EB,g1_H02:EB
A007,20,PLAT:BET:H01:EB,g1_H02:EB
A007,20,PLAT:BET:H02:EB,g1_H02:EB
A007,20,SEC:BET:H01_H02:EB,g1_H02:EB
A008,16,PLAT:BET:S17:EB,g1_S18:EB
A008,16,PLAT:BET:S18:EB,g1_S18:EB
A008,16,SEC:BET:S17_S18:EB,g1_S18:EB
A008,17,PLAT:BET:S17:EB,g1_S18:EB
A008,17,PLAT:BET:S18:EB,g1_S18:EB
A008,17,SEC:BET:S17_S18:EB,g1_S18:EB
A009,4,PLAT:ALP:S05:EB,g1_S06:EB
A009,4,PLAT:ALP:S06:EB,g1_S06:EB
A009,4,SEC:ALP:S05_S06:EB,g1_S06:EB
A009,5,PLAT:ALP:S05:EB,g1_S06:EB
A009,5,PLAT:ALP:S06:EB,g1_S06:EB
A009,5,SEC:ALP:S05_S06:EB,g1_S06:EB
A009,6,PLAT:ALP:S05:EB,g1_S06:EB
A009,6,PLAT:ALP:S06:EB,g1_S06:EB
A009,6,SEC:ALP:S05_S06:EB,g1_S06:EB
A011,18,PLAT:BET:S15:EB,g1_S16:EB
A011,18,PLAT:BET:S16:EB,g1_S16:EB
A011,18,PLAT:BET:S17:EB,g1_S16:EB
A011,18,SEC:BET:S15_S16:EB,g1_S16:EB
A011,18,SEC:BET:S16_S17:EB,g1_S16:EB
A012,2,PLAT:BET:H01:WB,g1_H02:WB
A012,2,PLAT:BET:H02:WB,g1_H02:WB
A012,2,PLAT:BET:S15:WB,g1_H02:WB
A012,2,SEC:BET:H01_H02:WB,g1_H02:WB
A012,2,SEC:BET:H02_S15:WB,g1_H02:WB
A012,3,PLAT:BET:H01:WB,g1_H02:WB
A012,3,PLAT:BET:H02:WB,g1_H02:WB
A012,3,PLAT:BET:S15:WB,g1_H02:WB
A012,3,SEC:BET:H01_H02:WB,g1_H02:WB
A012,3,SEC:BET:H02_S15:WB,g1_H02:WB
A012,4,PLAT:BET:H01:WB,g1_H02:WB
A012,4,PLAT:BET:H02:WB,g1_H02:WB
A012,4,PLAT:BET:S15:WB,g1_H02:WB
A012,4,SEC:BET:H01_H02:WB,g1_H02:WB
A012,4,SEC:BET:H02_S15:WB,g1_H02:WB
A013,21,PLAT:ALP:S05:WB,g1_S06:WB
A013,21,PLAT:ALP:S06:WB,g1_S06:WB
A013,21,SEC:ALP:S05_S06:WB,g1_S06:WB
A013,22,PLAT:ALP:S05:WB,g1_S06:WB
A013,22,PLAT:ALP:S06:WB,g1_S06:WB
A013,22,SEC:ALP:S05_S06:WB,g1_S06:WB
A014,13,PLAT:ALP:S07:EB,g1_S08:EB
A014,13,PLAT:ALP:S08:EB,g1_S08:EB
A014,13,SEC:ALP:S07_S08:EB,g1_S08:EB
A017,17,PLAT:BET:H01:EB,g1_H02:EB
A017,17,PLAT:BET:H02:EB,g1_H02:EB
A017,17,PLAT:BET:S15:EB,g1_H02:EB
A017,17,PLAT:BET:S16:EB,g1_H02:EB
A017,17,SEC:BET:H01_H02:EB,g1_H02:EB
A017,17,SEC:BET:H02_S15:EB,g1_H02:EB
A017,17,SEC:BET:S15_S16:EB,g1_H02:EB
A019,11,PLAT:BET:S16:EB,g1_S17:EB
A019,11,PLAT:BET:S17:EB,g1_S17:EB
A019,11,SEC:BET:S16_S17:EB,g1_S17:EB
A020,13,PLAT:ALP:H01:WB,g1_H01:WB
A020,13,PLAT:ALP:H02:WB,g1_H01:WB
A020,13,PLAT:ALP:S04:WB,g1_H01:WB
A020,13,PLAT:ALP:S05:WB,g1_H01:WB
A020,13,SEC:ALP:H01_H02:WB,g1_H01:WB
A020,13,SEC:ALP:H02_S05:WB,g1_H01:WB
A020,13,SEC:ALP:S04_H01:WB,g1_H01:WB
A021,3,PLAT:BET:S11:WB,g1_S12:WB
A021,3,PLAT:BET:S12:WB,g1_S12:WB
A021,3,PLAT:BET:S13:WB,g1_S12:WB
A021,3,SEC:BET:S11_S12:WB,g1_S12:WB
A021,3,SEC:BET:S12_S13:WB,g1_S12:WB
A023,21,PLAT:ALP:S03:WB,g1_S04:WB
A023,21,PLAT:ALP:S04:WB,g1_S04:WB
A023,21,SEC:ALP:S03_S04:WB,g1_S04:WB
A023,22,PLAT:ALP:S03:WB,g1_S04:WB
A023,22,PLAT:ALP:S04:WB,g1_S04:WB
A023,22,SEC:ALP:S03_S04:WB,g1_S04:WB
A023,23,PLAT:ALP:S03:WB,g1_S04:WB
A023,23,PLAT:ALP:S04:WB,g1_S04:WB
A023,23,SEC:ALP:S03_S04:WB,g1_S04:WB
A025,8,PLAT:ALP:S01:EB,g1_S02:EB
A025,8,PLAT:ALP:S02:EB,g1_S02:EB
A025,8,PLAT:ALP:S03:EB,g1_S02:EB
A025,8,SEC:ALP:S01_S02:EB,g1_S02:EB
A025,8,SEC:ALP:S02_S03:EB,g1_S02:EB
A025,9,PLAT:ALP:S01:EB,g1_S02:EB
A025,9,PLAT:ALP:S02:EB,g1_S02:EB
A025,9,PLAT:ALP:S03:EB,g1_S02:EB
A025,9,SEC:ALP:S01_S02:EB,g1_S02:EB
A025,9,SEC:ALP:S02_S03:EB,g1_S02:EB
A025,10,PLAT:ALP:S01:EB,g1_S02:EB
A025,10,PLAT:ALP:S02:EB,g1_S02:EB
A025,10,PLAT:ALP:S03:EB,g1_S02:EB
A025,10,SEC:ALP:S01_S02:EB,g1_S02:EB
A025,10,SEC:ALP:S02_S03:EB,g1_S02:EB
A028,10,PLAT:ALP:H01:EB,g1_S04:EB
A028,10,PLAT:ALP:S03:EB,g1_S04:EB
A028,10,PLAT:ALP:S04:EB,g1_S04:EB
A028,10,SEC:ALP:S03_S04:EB,g1_S04:EB
A028,10,SEC:ALP:S04_H01:EB,g1_S04:EB
A031,1,PLAT:ALP:S06:WB,g1_S07:WB
A031,1,PLAT:ALP:S07:WB,g1_S07:WB
A031,1,PLAT:ALP:S08:WB,g1_S07:WB
A031,1,SEC:ALP:S06_S07:WB,g1_S07:WB
A031,1,SEC:ALP:S07_S08:WB,g1_S07:WB
A035,1,PLAT:ALP:S02:WB,g1_S03:WB
A035,1,PLAT:ALP:S03:WB,g1_S03:WB
A035,1,PLAT:ALP:S04:WB,g1_S03:WB
A035,1,SEC:ALP:S02_S03:WB,g1_S03:WB
A035,1,SEC:ALP:S03_S04:WB,g1_S03:WB
A036,22,PLAT:BET:H01:EB,g1_H01:EB
A036,22,PLAT:BET:S14:EB,g1_H01:EB
A036,22,SEC:BET:S14_H01:EB,g1_H01:EB
A037,8,PLAT:BET:S15:EB,g1_S16:EB
A037,8,PLAT:BET:S16:EB,g1_S16:EB
A037,8,PLAT:BET:S17:EB,g1_S16:EB
A037,8,SEC:BET:S15_S16:EB,g1_S16:EB
A037,8,SEC:BET:S16_S17:EB,g1_S16:EB
A038,9,PLAT:BET:S17:EB,g1_S18:EB
A038,9,PLAT:BET:S18:EB,g1_S18:EB
A038,9,SEC:BET:S17_S18:EB,g1_S18:EB
A039,8,PLAT:BET:S11:WB,g1_S12:WB
A039,8,PLAT:BET:S12:WB,g1_S12:WB
A039,8,PLAT:BET:S13:WB,g1_S12:WB
A039,8,PLAT:BET:S14:WB,g1_S12:WB
A039,8,SEC:BET:S11_S12:WB,g1_S12:WB
A039,8,SEC:BET:S12_S13:WB,g1_S12:WB
A039,8,SEC:BET:S13_S14:WB,g1_S12:WB
A040,13,PLAT:BET:H01:EB,g1_H02:EB
A040,13,PLAT:BET:H02:EB,g1_H02:EB
A040,13,PLAT:BET:S15:EB,g1_H02:EB
A040,13,PLAT:BET:S16:EB,g1_H02:EB
A040,13,SEC:BET:H01_H02:EB,g1_H02:EB
A040,13,SEC:BET:H02_S15:EB,g1_H02:EB
A040,13,SEC:BET:S15_S16:EB,g1_H02:EB
A040,14,PLAT:BET:H01:EB,g1_H02:EB
A040,14,PLAT:BET:H02:EB,g1_H02:EB
A040,14,PLAT:BET:S15:EB,g1_H02:EB
A040,14,PLAT:BET:S16:EB,g1_H02:EB
A040,14,SEC:BET:H01_H02:EB,g1_H02:EB
A040,14,SEC:BET:H02_S15:EB,g1_H02:EB
A040,14,SEC:BET:S15_S16:EB,g1_H02:EB
A040,15,PLAT:BET:H01:EB,g1_H02:EB
A040,15,PLAT:BET:H02:EB,g1_H02:EB
A040,15,PLAT:BET:S15:EB,g1_H02:EB
A040,15,PLAT:BET:S16:EB,g1_H02:EB
A040,15,SEC:BET:H01_H02:EB,g1_H02:EB
A040,15,SEC:BET:H02_S15:EB,g1_H02:EB
A040,15,SEC:BET:S15_S16:EB,g1_H02:EB
A041,11,PLAT:BET:S15:EB,g1_S16:EB
A041,11,PLAT:BET:S16:EB,g1_S16:EB
A041,11,SEC:BET:S15_S16:EB,g1_S16:EB
A042,23,PLAT:BET:S15:EB,g1_S16:EB
A042,23,PLAT:BET:S16:EB,g1_S16:EB
A042,23,PLAT:BET:S17:EB,g1_S16:EB
A042,23,PLAT:BET:S18:EB,g1_S16:EB
A042,23,SEC:BET:S15_S16:EB,g1_S16:EB
A042,23,SEC:BET:S16_S17:EB,g1_S16:EB
A042,23,SEC:BET:S17_S18:EB,g1_S16:EB
A043,15,PLAT:BET:H02:EB,g1_H02:EB
A043,15,PLAT:BET:S15:EB,g1_H02:EB
A043,15,PLAT:BET:S16:EB,g1_H02:EB
A043,15,PLAT:BET:S17:EB,g1_H02:EB
A043,15,SEC:BET:H02_S15:EB,g1_H02:EB
A043,15,SEC:BET:S15_S16:EB,g1_H02:EB
A043,15,SEC:BET:S16_S17:EB,g1_H02:EB
A046,9,PLAT:ALP:S05:WB,g1_S06:WB
A046,9,PLAT:ALP:S06:WB,g1_S06:WB
A046,9,SEC:ALP:S05_S06:WB,g1_S06:WB
A046,10,PLAT:ALP:S05:WB,g1_S06:WB
A046,10,PLAT:ALP:S06:WB,g1_S06:WB
A046,10,SEC:ALP:S05_S06:WB,g1_S06:WB
A047,13,PLAT:ALP:H02:EB,g1_S05:EB
A047,13,PLAT:ALP:S05:EB,g1_S05:EB
A047,13,PLAT:ALP:S06:EB,g1_S05:EB
A047,13,SEC:ALP:H02_S05:EB,g1_S05:EB
A047,13,SEC:ALP:S05_S06:EB,g1_S05:EB
A048,1,PLAT:BET:S13:EB,g1_S14:EB
A048,1,PLAT:BET:S14:EB,g1_S14:EB
A048,1,SEC:BET:S13_S14:EB,g1_S14:EB
A049,8,PLAT:BET:H02:WB,g1_S15:WB
A049,8,PLAT:BET:S15:WB,g1_S15:WB
A049,8,PLAT:BET:S16:WB,g1_S15:WB
A049,8,SEC:BET:H02_S15:WB,g1_S15:WB
A049,8,SEC:BET:S15_S16:WB,g1_S15:WB
A049,9,PLAT:BET:H02:WB,g1_S15:WB
A049,9,PLAT:BET:S15:WB,g1_S15:WB
A049,9,PLAT:BET:S16:WB,g1_S15:WB
A049,9,SEC:BET:H02_S15:WB,g1_S15:WB
A049,9,SEC:BET:S15_S16:WB,g1_S15:WB
A050,17,PLAT:ALP:H01:WB,g1_S04:WB
A050,17,PLAT:ALP:S03:WB,g1_S04:WB
A050,17,PLAT:ALP:S04:WB,g1_S04:WB
A050,17,SEC:ALP:S03_S04:WB,g1_S04:WB
A050,17,SEC:ALP:S04_H01:WB,g1_S04:WB
A051,26,PLAT:BET:S17:WB,g1_S18:WB
A051,26,PLAT:BET:S18:WB,g1_S18:WB
A051,26,SEC:BET:S17_S18:WB,g1_S18:WB
A054,17,PLAT:ALP:H01:EB,g1_H01:EB
A054,17,PLAT:ALP:H02:EB,g1_H01:EB
A054,17,PLAT:ALP:S04:EB,g1_H01:EB
A054,17,PLAT:ALP:S05:EB,g1_H01:EB
A054,17,SEC:ALP:H01_H02:EB,g1_H01:EB
A054,17,SEC:ALP:H02_S05:EB,g1_H01:EB
A054,17,SEC:ALP:S04_H01:EB,g1_H01:EB
A055,16,PLAT:BET:H01:EB,g1_S14:EB
A055,16,PLAT:BET:H02:EB,g1_S14:EB
A055,16,PLAT:BET:S13:EB,g1_S14:EB
A055,16,PLAT:BET:S14:EB,g1_S14:EB
A055,16,SEC:BET:H01_H02:EB,g1_S14:EB
A055,16,SEC:BET:S13_S14:EB,g1_S14:EB
A055,16,SEC:BET:S14_H01:EB,g1_S14:EB
A056,18,PLAT:ALP:H02:WB,g1_S05:WB
A056,18,PLAT:ALP:S05:WB,g1_S05:WB
A056,18,PLAT:ALP:S06:WB,g1_S05:WB
A056,18,PLAT:ALP:S07:WB,g1_S05:WB
A056,18,SEC:ALP:H02_S05:WB,g1_S05:WB
A056,18,SEC:ALP:S05_S06:WB,g1_S05:WB
A056,18,SEC:ALP:S06_S07:WB,g1_S05:WB
A057,15,PLAT:BET:H02:EB,g1_H02:EB
A057,15,PLAT:BET:S15:EB,g1_H02:EB
A057,15,PLAT:BET:S16:EB,g1_H02:EB
A057,15,SEC:BET:H02_S15:EB,g1_H02:EB
A057,15,SEC:BET:S15_S16:EB,g1_H02:EB
A057,17,PLAT:BET:H02:EB,g1_H02:EB
A057,17,PLAT:BET:S15:EB,g1_H02:EB
A057,17,PLAT:BET:S16:EB,g1_H02:EB
A057,17,SEC:BET:H02_S15:EB,g1_H02:EB
A057,17,SEC:BET:S15_S16:EB,g1_H02:EB
A057,18,PLAT:BET:H02:EB,g1_H02:EB
A057,18,PLAT:BET:S15:EB,g1_H02:EB
A057,18,PLAT:BET:S16:EB,g1_H02:EB
A057,18,SEC:BET:H02_S15:EB,g1_H02:EB
A057,18,SEC:BET:S15_S16:EB,g1_H02:EB
A057,19,PLAT:BET:H02:EB,g1_H02:EB
A057,19,PLAT:BET:S15:EB,g1_H02:EB
A057,19,PLAT:BET:S16:EB,g1_H02:EB
A057,19,SEC:BET:H02_S15:EB,g1_H02:EB
A057,19,SEC:BET:S15_S16:EB,g1_H02:EB
A057,20,PLAT:BET:H02:EB,g1_S15:EB
A057,20,PLAT:BET:S15:EB,g1_S15:EB
A057,20,PLAT:BET:S16:EB,g1_S15:EB
A057,20,SEC:BET:H02_S15:EB,g1_S15:EB
A057,20,SEC:BET:S15_S16:EB,g1_S15:EB
A057,21,PLAT:BET:H02:EB,g1_S15:EB
A057,21,PLAT:BET:S15:EB,g1_S15:EB
A057,21,PLAT:BET:S16:EB,g1_S15:EB
A057,21,SEC:BET:H02_S15:EB,g1_S15:EB
A057,21,SEC:BET:S15_S16:EB,g1_S15:EB
A057,22,PLAT:BET:H02:EB,g1_H02:EB
A057,22,PLAT:BET:S15:EB,g1_H02:EB
A057,22,PLAT:BET:S16:EB,g1_H02:EB
A057,22,SEC:BET:H02_S15:EB,g1_H02:EB
A057,22,SEC:BET:S15_S16:EB,g1_H02:EB
A058,2,PLAT:ALP:H01:WB,g1_S04:WB
A058,2,PLAT:ALP:H02:WB,g1_S04:WB
A058,2,PLAT:ALP:S03:WB,g1_S04:WB
A058,2,PLAT:ALP:S04:WB,g1_S04:WB
A058,2,SEC:ALP:H01_H02:WB,g1_S04:WB
A058,2,SEC:ALP:S03_S04:WB,g1_S04:WB
A058,2,SEC:ALP:S04_H01:WB,g1_S04:WB
A059,14,PLAT:ALP:S06:WB,g1_S07:WB
A059,14,PLAT:ALP:S07:WB,g1_S07:WB
A059,14,PLAT:ALP:S08:WB,g1_S07:WB
A059,14,SEC:ALP:S06_S07:WB,g1_S07:WB
A059,14,SEC:ALP:S07_S08:WB,g1_S07:WB
A060,13,PLAT:BET:H02:EB,g1_H02:EB
A060,13,PLAT:BET:S15:EB,g1_H02:EB
A060,13,PLAT:BET:S16:EB,g1_H02:EB
A060,13,SEC:BET:H02_S15:EB,g1_H02:EB
A060,13,SEC:BET:S15_S16:EB,g1_H02:EB
A061,4,PLAT:BET:H01:EB,g1_H02:EB
A061,4,PLAT:BET:H02:EB,g1_H02:EB
A061,4,PLAT:BET:S15:EB,g1_H02:EB
A061,4,SEC:BET:H01_H02:EB,g1_H02:EB
A061,4,SEC:BET:H02_S15:EB,g1_H02:EB
A063,5,PLAT:BET:H01:EB,g1_H01:EB
A063,5,PLAT:BET:H02:EB,g1_H01:EB
A063,5,PLAT:BET:S14:EB,g1_H01:EB
A063,5,SEC:BET:H01_H02:EB,g1_H01:EB
A063,5,SEC:BET:S14_H01:EB,g1_H01:EB
A064,16,PLAT:BET:S15:WB,g1_S16:WB
A064,16,PLAT:BET:S16:WB,g1_S16:WB
A064,16,SEC:BET:S15_S16:WB,g1_S16:WB
A065,19,PLAT:BET:S12:WB,g1_S13:WB
A065,19,PLAT:BET:S13:WB,g1_S13:WB
A065,19,SEC:BET:S12_S13:WB,g1_S13:WB
A066,25,PLAT:ALP:H01:WB,g1_S03:WB
A066,25,PLAT:ALP:S02:WB,g1_S03:WB
A066,25,PLAT:ALP:S03:WB,g1_S03:WB
A066,25,PLAT:ALP:S04:WB,g1_S03:WB
A066,25,SEC:ALP:S02_S03:WB,g1_S03:WB
A066,25,SEC:ALP:S03_S04:WB,g1_S03:WB
A066,25,SEC:ALP:S04_H01:WB,g1_S03:WB
A069,10,PLAT:ALP:H01:WB,g1_S04:WB
A069,10,PLAT:ALP:H02:WB,g1_S04:WB
A069,10,PLAT:ALP:S03:WB,g1_S04:WB
A069,10,PLAT:ALP:S04:WB,g1_S04:WB
A069,10,SEC:ALP:H01_H02:WB,g1_S04:WB
A069,10,SEC:ALP:S03_S04:WB,g1_S04:WB
A069,10,SEC:ALP:S04_H01:WB,g1_S04:WB
A069,12,PLAT:ALP:H01:WB,g1_S04:WB
A069,12,PLAT:ALP:H02:WB,g1_S04:WB
A069,12,PLAT:ALP:S03:WB,g1_S04:WB
A069,12,PLAT:ALP:S04:WB,g1_S04:WB
A069,12,SEC:ALP:H01_H02:WB,g1_S04:WB
A069,12,SEC:ALP:S03_S04:WB,g1_S04:WB
A069,12,SEC:ALP:S04_H01:WB,g1_S04:WB
A070,11,PLAT:ALP:H01:WB,g1_S04:WB
A070,11,PLAT:ALP:S03:WB,g1_S04:WB
A070,11,PLAT:ALP:S04:WB,g1_S04:WB
A070,11,SEC:ALP:S03_S04:WB,g1_S04:WB
A070,11,SEC:ALP:S04_H01:WB,g1_S04:WB
A070,12,PLAT:ALP:H01:WB,g1_S04:WB
A070,12,PLAT:ALP:S03:WB,g1_S04:WB
A070,12,PLAT:ALP:S04:WB,g1_S04:WB
A070,12,SEC:ALP:S03_S04:WB,g1_S04:WB
A070,12,SEC:ALP:S04_H01:WB,g1_S04:WB
A071,16,PLAT:BET:S15:EB,g1_S16:EB
A071,16,PLAT:BET:S16:EB,g1_S16:EB
A071,16,PLAT:BET:S17:EB,g1_S16:EB
A071,16,SEC:BET:S15_S16:EB,g1_S16:EB
A071,16,SEC:BET:S16_S17:EB,g1_S16:EB
A072,23,PLAT:ALP:H01:EB,g1_H01:EB
A072,23,PLAT:ALP:H02:EB,g1_H01:EB
A072,23,PLAT:ALP:S04:EB,g1_H01:EB
A072,23,SEC:ALP:H01_H02:EB,g1_H01:EB
A072,23,SEC:ALP:S04_H01:EB,g1_H01:EB
A073,22,PLAT:BET:H01:EB,g1_H02:EB
A073,22,PLAT:BET:H02:EB,g1_H02:EB
A073,22,PLAT:BET:S15:EB,g1_H02:EB
A073,22,SEC:BET:H01_H02:EB,g1_H02:EB
A073,22,SEC:BET:H02_S15:EB,g1_H02:EB
A074,19,PLAT:ALP:H01:EB,g1_H02:EB
A074,19,PLAT:ALP:H02:EB,g1_H02:EB
A074,19,SEC:ALP:H01_H02:EB,g1_H02:EB
A075,24,PLAT:BET:H01:WB,g1_H02:WB
A075,24,PLAT:BET:H02:WB,g1_H02:WB
A075,24,SEC:BET:H01_H02:WB,g1_H02:WB
